id,route,Timestamp,recovery_band,seconds_since_distraction_end,future_event,future_risk_score,hr,hr_available,hr_delta_10s,hr_slope_10s,hr_slope_change_10s,hr_burden_plus3_recent10,hr_deviation_local
0A01,P2,2025-07-09 14:07:57+00:00,R00_10,8.0,0,0.0,74.0,1.0,-2.8000000000000114,-0.3575757575757589,-0.09696969696969832,0.0,-1.0
0A01,P2,2025-07-09 14:08:02+00:00,R10_20,13.0,0,0.0,75.0,1.0,-3.1000000000000085,-0.35151515151515056,0.0787878787878753,0.0,0.0
0C01,P2,2025-07-09 14:47:55+00:00,CONTROL_PRE,,0,0.0,64.0,1.0,-2.4000000000000057,-0.3939393939393947,-0.6666666666666687,0.0,-5.0
0C01,P2,2025-07-09 14:48:00+00:00,CONTROL_PRE,,0,0.0,63.0,1.0,-4.0,-0.19999999999999993,0.25454545454545063,0.0,-6.0
0C01,P2,2025-07-09 14:48:05+00:00,CONTROL_PRE,,0,0.0,62.0,1.0,-2.1999999999999957,0.0666666666666677,0.4606060606060624,0.0,-6.0
0C01,P2,2025-07-09 14:48:10+00:00,CONTROL_PRE,,0,0.0,64.0,1.0,-0.19999999999999574,0.006060606060606804,0.20606060606060672,0.0,-3.0
0C01,P2,2025-07-09 14:48:15+00:00,CONTROL_PRE,,0,0.0,64.0,1.0,0.6000000000000014,0.24848484848484914,0.18181818181818143,0.0,-3.0
0C01,P2,2025-07-09 14:48:20+00:00,CONTROL_PRE,,0,0.0,64.0,1.0,0.9999999999999929,0.06666666666667018,0.06060606060606337,0.0,-2.0
0C01,P2,2025-07-09 14:48:25+00:00,CONTROL_PRE,,0,0.0,64.0,1.0,0.5999999999999943,-0.01818181818181746,-0.2666666666666666,0.0,-2.0
0C01,P2,2025-07-09 14:48:30+00:00,CONTROL_PRE,,0,0.0,64.0,1.0,-0.09999999999999432,1.0274694277005705e-15,-0.06666666666666915,0.0,-1.0
0C01,P2,2025-07-09 14:48:35+00:00,CONTROL_PRE,,0,0.0,65.0,1.0,-0.09999999999999432,0.048484848484849186,0.06666666666666665,0.0,0.5
0C01,P2,2025-07-09 14:48:40+00:00,CONTROL_PRE,,0,0.0,64.0,1.0,-0.5,-0.03030303030302821,-0.030303030303029235,0.0,0.0
0C01,P2,2025-07-09 14:48:45+00:00,CONTROL_PRE,,0,0.0,65.0,1.0,-0.3999999999999986,0.2787878787878803,0.23030303030303112,0.0,1.0
0C01,P2,2025-07-09 14:48:50+00:00,CONTROL_PRE,,0,0.0,66.0,1.0,1.2000000000000028,0.20000000000000182,0.23030303030303,0.0,2.0
0C01,P2,2025-07-09 14:48:55+00:00,CONTROL_PRE,,0,0.0,67.0,1.0,2.3999999999999986,0.25454545454545663,-0.024242424242423677,0.0,2.0
0C01,P2,2025-07-09 14:49:00+00:00,CONTROL_PRE,,0,0.0,70.0,1.0,3.5999999999999943,0.4666666666666682,0.2666666666666664,0.5,5.0
0C01,P2,2025-07-09 14:49:05+00:00,CONTROL_PRE,,0,0.0,67.0,1.0,2.9000000000000057,-0.2969696969696962,-0.5515151515151528,0.6,2.0
0C01,P2,2025-07-09 14:49:10+00:00,CONTROL_PRE,,0,0.0,66.0,1.0,-1.0999999999999943,-0.32727272727272577,-0.793939393939394,0.1,1.0
0C01,P2,2025-07-09 14:49:15+00:00,CONTROL_PRE,,0,0.0,65.0,1.0,-2.8000000000000114,-0.1878787878787877,0.10909090909090852,0.0,-1.0
0C01,P2,2025-07-09 14:49:20+00:00,CONTROL_PRE,,0,0.0,68.0,1.0,-0.7999999999999972,0.19393939393939622,0.521212121212122,0.0,2.0
0C01,P2,2025-07-09 14:49:25+00:00,CONTROL_PRE,,0,0.0,68.0,1.0,1.0,0.12727272727272915,0.31515151515151685,0.0,2.0
0C01,P2,2025-07-09 14:49:30+00:00,CONTROL_PRE,,0,0.0,72.0,1.0,2.299999999999997,0.5757575757575737,0.3818181818181775,0.3,6.0
0C01,P2,2025-07-09 14:49:35+00:00,CONTROL_PRE,,0,0.0,70.0,1.0,3.5,0.16969696969696949,0.04242424242424034,0.8,4.0
0C01,P2,2025-07-09 14:49:40+00:00,CONTROL_PRE,,0,0.0,67.0,1.0,1.0,-0.5272727272727299,-1.1030303030303035,0.6,1.0
0C01,P2,2025-07-09 14:49:45+00:00,CONTROL_PRE,,0,0.0,67.0,1.0,-2.8999999999999915,-0.296969696969695,-0.46666666666666445,0.1,0.0
0C01,P2,2025-07-09 14:49:50+00:00,CONTROL_PRE,,0,0.0,69.0,1.0,-2.6000000000000085,0.0787878787878788,0.6060606060606086,0.0,2.0
0C01,P2,2025-07-09 14:49:55+00:00,CONTROL_PRE,,0,0.0,68.0,1.0,-0.29999999999999716,0.12121212121212378,0.41818181818181877,0.0,1.0
0C01,P2,2025-07-09 14:50:00+00:00,CONTROL_PRE,,0,0.0,71.0,1.0,1.4000000000000057,0.36969696969696764,0.29090909090908884,0.1,4.0
0C01,P2,2025-07-09 14:50:05+00:00,CONTROL_PRE,,0,0.0,69.0,1.0,3.0999999999999943,0.2969696969696993,0.17575757575757556,0.5,2.0
0C01,P2,2025-07-09 14:50:10+00:00,CONTROL_PRE,,0,0.0,65.0,1.0,-0.5,-1.236363636363636,-1.6060606060606037,0.4,-2.0
0C01,P2,2025-07-09 14:50:15+00:00,CONTROL_PRE,,0,0.0,65.0,1.0,-5.400000000000006,0.1636363636363639,-0.1333333333333354,0.0,-2.0
0C01,P2,2025-07-09 14:50:20+00:00,CONTROL_PRE,,0,0.0,63.0,1.0,-3.5,-0.44242424242424006,0.793939393939396,0.0,-4.0
0C01,P2,2025-07-09 14:50:25+00:00,CONTROL_PRE,,0,0.0,60.0,1.0,-2.999999999999993,-0.4303030303030284,-0.5939393939393923,0.0,-7.0
0C01,P2,2025-07-09 14:50:30+00:00,CONTROL_PRE,,0,0.0,63.0,1.0,-3.299999999999997,0.036363636363635994,0.47878787878787604,0.0,-3.0
0C01,P2,2025-07-09 14:50:35+00:00,CONTROL_PRE,,0,0.0,63.0,1.0,-0.10000000000000142,0.21818181818181895,0.6484848484848473,0.0,-3.0
0C01,P2,2025-07-09 14:50:40+00:00,CONTROL_PRE,,0,0.0,65.0,1.0,2.1999999999999957,0.30303030303030376,0.2666666666666678,0.0,-1.0
