user_id,run_id,weather,map_name,start_x,start_y,start_z,end_x,end_y,end_z,arousal_start,arousal_end,hr_bpm_start,hr_bpm_end,model_pred_start,model_prob_start,model_pred_end,model_prob_end,emotion_label_start,emotion_prob_start,emotion_label_end,emotion_prob_end,timestamp_start,timestamp_end,frame_start,frame_end,sim_time_start,sim_time_end,details
participant_03,1,day,Town10HD,-110.50324249267578,-14.533628463745117,0.0017190170474350452,-110.50324249267578,-14.53328800201416,0.001718978863209486,1.0,0.754,65,64,None,0.949,None,0.955,neutral,0.438,fear,0.965,2026-02-16T10:38:39.855474,2026-02-16T10:38:42.358918,365924,365958,6972.7124087028205,6973.902408707887,window_2
participant_03,1,day,Town10HD,-103.51974487304688,18.83595085144043,0.0017619323916733265,-66.76604461669922,27.41939353942871,0.0018726348644122481,0.215,0.224,56,52,None,1.0,pick_floor,0.999,neutral,0.429,sad,0.768,2026-02-16T10:38:54.580451,2026-02-16T10:39:04.771910,366122,366250,6979.642408732325,6984.122408751398,window_1
participant_03,1,day,Town10HD,-31.479833602905273,27.664804458618164,0.001857757568359375,-8.834888458251953,27.85062026977539,0.0016487885732203722,0.251,0.298,51,56,None,0.889,pick_floor,0.994,neutral,0.484,sad,0.742,2026-02-16T10:39:10.077780,2026-02-16T10:39:13.533531,366331,366384,6986.957408763468,6988.812408771366,window_2
participant_03,1,day,Town10HD,52.98467254638672,70.43243408203125,0.0021440121345221996,87.28556823730469,67.48677062988281,0.00191154470667243,0.642,0.547,56,54,None,0.866,pick_floor,0.958,neutral,0.357,neutral,0.856,2026-02-16T10:39:36.349882,2026-02-16T10:39:42.180046,366750,366844,7001.622408825904,7004.912408839911,window_1
participant_03,1,day,Town10HD,101.45818328857422,75.0630874633789,0.0015546801732853055,100.10701751708984,96.97926330566406,0.001685333321802318,0.567,0.75,59,64,None,1.0,pick_floor,0.989,neutral,0.748,fear,0.951,2026-02-16T10:39:47.634316,2026-02-16T10:39:51.838619,366934,367000,7008.062408853322,7010.372408863157,window_2
participant_03,1,day,Town10HD,1.674358606338501,130.39178466796875,0.0017355346353724599,-24.937808990478516,131.20272827148438,0.0016837312141433358,0.884,0.513,55,53,None,0.921,pick_floor,0.991,neutral,0.701,sad,0.993,2026-02-16T10:40:14.640176,2026-02-16T10:40:19.862882,367362,367443,7023.042408917099,7025.877408929169,window_1
participant_03,1,day,Town10HD,-41.428466796875,122.73590850830078,0.001871146960183978,-42.1478271484375,119.5792465209961,0.002953454153612256,0.365,0.379,54,54,None,1.0,pick_floor,0.998,neutral,0.321,fear,0.711,2026-02-16T10:40:25.826552,2026-02-16T10:40:29.921229,367535,367595,7029.097408942878,7031.197408951819,window_2
participant_03,1,day,Town10HD,-1.0823520421981812,69.64344787597656,0.0017504884162917733,6.903137683868408,69.87384796142578,0.0018439864506945014,1.0,0.972,57,53,None,0.945,None,0.92,sad,0.331,sad,0.714,2026-02-16T10:40:54.855783,2026-02-16T10:40:57.298862,367979,368016,7044.637409009039,7045.932409014553,window_1
participant_03,1,day,Town10HD,19.891794204711914,70.1412124633789,0.0017720031319186091,27.292259216308594,70.14801788330078,0.001381531124934554,0.419,0.307,52,52,None,0.944,None,1.0,fear,0.388,fear,0.989,2026-02-16T10:41:02.425254,2026-02-16T10:41:06.353780,368095,368156,7048.697409026325,7050.8324090354145,window_2
participant_03,1,day,Town10HD,73.83841705322266,24.817646026611328,0.0017565154703333974,86.37348175048828,24.77286720275879,-0.00011684394848998636,0.376,0.376,54,53,None,0.957,pick_floor,0.929,neutral,0.97,sad,0.983,2026-02-16T10:41:23.837806,2026-02-16T10:41:27.508596,368439,368501,7060.737409077585,7062.9074090868235,window_1
