Trial,Phase,TargetQuadrant,ClickedQuadrant,Correct,ResponseTime_ms,ResponseTime_s,Timeout,TrialStart_UTC_ms,ResponseTimestamp_UTC_ms,subject_id,canonical_subject_id,session_number,session_id,condition,route,order_subgroup,source_file,TrialStart_dt,Response_dt,offline_activation_anchor_dt,offline_activation_annotation_type,offline_activation_reference_label,offline_activation_roll_window_seconds,baseline_first_session_lqm,hr_burden_above_baseline_plus_3bpm_session,hr_burden_above_baseline_plus_3bpm_session_100,hr_burden_above_baseline_plus_3bpm_roll20,hr_burden_above_baseline_plus_3bpm_roll20_100,hr_roll20_valid_sample_count,hr_roll20_coverage_ratio,drive_post10_center_line_crossing_sum,drive_post10_collision_sum,drive_post10_panic_braking_sum
10,2,4,4.0,True,718.0,0.72,False,1752069827938,1752069828656.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:47.938000+02:00,2025-07-09 16:03:48.656000+02:00,2025-07-09 16:03:47.938000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.09523809523809523,9.523809523809524,21.0,1.0,0.9099999999999999,0.0,0.0
11,1,3,3.0,True,1128.0,1.13,False,1752069836671,1752069837799.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:56.671000+02:00,2025-07-09 16:03:57.799000+02:00,2025-07-09 16:03:56.671000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.47619047619047616,47.61904761904761,21.0,1.0,4.4399999999999995,0.0,0.0
11,2,3,3.0,True,1060.0,1.06,False,1752069837801,1752069838861.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:57.801000+02:00,2025-07-09 16:03:58.861000+02:00,2025-07-09 16:03:57.801000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.47619047619047616,47.61904761904761,21.0,1.0,5.4399999999999995,0.0,0.0
12,1,1,1.0,True,1215.0,1.22,False,1752069846675,1752069847890.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:06.675000+02:00,2025-07-09 16:04:07.890000+02:00,2025-07-09 16:04:06.675000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.5238095238095238,52.38095238095239,21.0,1.0,1.38,0.0,0.0
12,2,3,3.0,True,643.0,0.64,False,1752069847893,1752069848536.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:07.893000+02:00,2025-07-09 16:04:08.536000+02:00,2025-07-09 16:04:07.893000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.5238095238095238,52.38095238095239,21.0,1.0,0.38,0.0,0.0
13,1,3,3.0,True,1419.0,1.42,False,1752069856677,1752069858096.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:16.677000+02:00,2025-07-09 16:04:18.096000+02:00,2025-07-09 16:04:16.677000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.5238095238095238,52.38095238095239,21.0,1.0,0.0,0.0,0.0
13,2,2,,False,,,True,1752069858098,,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:18.098000+02:00,,2025-07-09 16:04:18.098000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.6190476190476191,61.904761904761905,21.0,1.0,0.0,0.0,0.0
14,1,2,2.0,True,1336.0,1.34,False,1752069866691,1752069868027.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:26.691000+02:00,2025-07-09 16:04:28.027000+02:00,2025-07-09 16:04:26.691000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.9523809523809523,95.23809523809523,21.0,1.0,1.56,0.0,0.0
14,2,2,2.0,True,971.0,0.97,False,1752069868031,1752069869002.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:28.031000+02:00,2025-07-09 16:04:29.002000+02:00,2025-07-09 16:04:28.031000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.8571428571428571,85.71428571428571,21.0,1.0,2.9299999999999997,0.0,0.0
15,1,4,4.0,True,1636.0,1.64,False,1752069876708,1752069878344.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:36.708000+02:00,2025-07-09 16:04:38.344000+02:00,2025-07-09 16:04:36.708000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.47619047619047616,47.61904761904761,21.0,1.0,5.52,0.0,0.0
