id,clean_observation_s_delta,future_event_clean_delta,future_risk_score_clean_delta,future_event_fixed_5_15_delta,future_risk_score_fixed_5_15_delta,hr_pre10_delta,hr_post5_delta,hr_delta_post5_pre10_delta,hr_slope_pre10_delta,hr_slope_post5_delta,hr_slope_change_delta,hr_burden_plus3_post5_delta,hr_coverage_post5_delta,n_pairs
0C03,0.0,0.12,0.56,0.12,0.56,1.5580000000000007,1.1839999999999997,-0.3740000000000009,-0.10825974025974022,-0.23199999999999987,-0.1237402597402597,-0.10400000000000001,0.0,25
0C04,0.0,0.11764705882352941,0.47058823529411764,-0.058823529411764705,-0.4117647058823529,-1.8727272727272735,-2.0545454545454547,-0.18181818181818118,-0.040338449429360164,-0.17272727272727245,-0.13238882329791227,-0.45454545454545453,0.35294117647058826,17
0C05,0.0,-0.034482758620689655,-0.10344827586206896,-0.06896551724137931,-0.27586206896551724,1.606896551724138,1.289655172413791,-0.3172413793103469,-0.06562173458725136,0.010344827586206477,0.07596656217345785,-0.7379310344827585,0.0,29
0C06,0.0,-0.03333333333333333,-0.03333333333333333,-0.06666666666666667,-0.06666666666666667,0.36999999999999983,0.5266666666666685,0.15666666666666865,-0.04666666666666745,-0.23333333333333336,-0.1866666666666659,-0.18000000000000002,0.0,30
0C08,0.0,0.0,0.0,-0.04,-0.12,-1.2800000000000005,-0.9200000000000017,0.3599999999999989,-0.0033939393939392774,0.02800000000000218,0.03139393939394144,0.032,0.0,25
0C09,0.0,-0.041666666666666664,-0.20833333333333334,-0.041666666666666664,-0.20833333333333334,-2.4208333333333316,-1.8749999999999998,0.545833333333332,-0.06388888888888807,-0.1250000000000011,-0.06111111111111303,-0.10833333333333334,0.0,24
0C10,0.0,0.0,0.0,0.043478260869565216,0.21739130434782608,-3.0,-3.573913043478261,-0.5739130434782607,-0.11857707509881453,-0.11304347826086772,0.005533596837946828,-0.17391304347826086,0.0,23
0C11,0.0,-0.06060606060606061,-0.12121212121212122,-0.12121212121212122,-0.21212121212121213,0.2878787878787883,0.9818181818181828,0.6939393939393945,-0.17171717171717152,0.1878787878787878,0.3595959595959593,0.3151515151515152,0.0,33
0D01,0.0,0.0,0.0,-0.04,-0.2,14.968,15.424,0.4559999999999991,0.038303030303029756,0.2679999999999978,0.229696969696968,0.6,0.0,25
0D02,0.0,-0.02702702702702703,-0.13513513513513514,-0.05405405405405406,-0.21621621621621623,5.575675675675676,4.886486486486487,-0.6891891891891888,0.12203112203112218,-0.1675675675675684,-0.28959868959869056,-0.3891891891891892,0.0,37
0D08,0.0,0.0,0.0,0.07142857142857142,0.35714285714285715,5.728571428571429,5.657142857142859,-0.0714285714285694,0.11038961038961001,0.010714285714284757,-0.09967532467532525,0.2571428571428572,0.0,28
0D10,0.0,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.2727272727272727,1.2,1.4242424242424243,0.2242424242424242,0.016253443526170846,0.11212121212121151,0.09586776859504066,-0.006060606060606056,0.0,33
0D11,0.0,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.18518518518518517,2.5921810699588494,2.3703703703703702,-0.22181069958847888,-0.04017957351290695,-0.03333333333333234,0.006846240179574605,-0.1703703703703704,0.0,27
