id,distracted_route,trial,response_time,clean_recovery_s,matched_progress,order_subgroup,clean_observation_s_recovery,clean_observation_s_control,clean_observation_s_delta,future_event_clean_recovery,future_event_clean_control,future_event_clean_delta,future_risk_score_clean_recovery,future_risk_score_clean_control,future_risk_score_clean_delta,future_event_fixed_5_15_recovery,future_event_fixed_5_15_control,future_event_fixed_5_15_delta,future_risk_score_fixed_5_15_recovery,future_risk_score_fixed_5_15_control,future_risk_score_fixed_5_15_delta,hr_pre10_recovery,hr_pre10_control,hr_pre10_delta,hr_post5_recovery,hr_post5_control,hr_post5_delta,hr_delta_post5_pre10_recovery,hr_delta_post5_pre10_control,hr_delta_post5_pre10_delta,hr_slope_pre10_recovery,hr_slope_pre10_control,hr_slope_pre10_delta,hr_slope_post5_recovery,hr_slope_post5_control,hr_slope_post5_delta,hr_slope_change_recovery,hr_slope_change_control,hr_slope_change_delta,hr_burden_plus3_post5_recovery,hr_burden_plus3_post5_control,hr_burden_plus3_post5_delta,hr_coverage_post5_recovery,hr_coverage_post5_control,hr_coverage_post5_delta
0D01,P2,21,2025-07-10 07:22:05.518000+00:00,17.769,0.54,D first,10,10,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,99.0,89.9,9.099999999999994,101.8,90.4,11.399999999999991,2.799999999999997,0.5,2.299999999999997,-0.2787878787878811,-0.5757575757575749,0.29696969696969383,1.1999999999999826,0.49999999999999467,0.699999999999988,1.4787878787878637,1.0757575757575695,0.4030303030302942,0.4,0.0,0.4,1.0,1.0,0.0
0D01,P2,23,2025-07-10 07:22:23.947000+00:00,17.709,0.585,D first,10,10,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,105.1,93.1,12.0,104.2,89.2,15.0,-0.8999999999999915,-3.8999999999999915,3.0,-0.2606060606060609,-0.12727272727272454,-0.13333333333333636,-0.20000000000000492,-1.000000000000005,0.8000000000000002,0.06060606060605597,-0.8727272727272806,0.9333333333333366,1.0,0.0,1.0,1.0,1.0,0.0
0D01,P2,25,2025-07-10 07:22:42.816000+00:00,10.434,0.6325,D first,5,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,108.8,87.2,21.599999999999994,105.6,92.2,13.399999999999991,-3.200000000000003,5.0,-8.200000000000003,-0.24242424242423846,0.09696969696969683,-0.3393939393939353,-0.4000000000000063,0.6999999999999921,-1.0999999999999983,-0.15757575757576783,0.6030303030302953,-0.7606060606060631,1.0,0.0,1.0,1.0,1.0,0.0
0D01,P2,26,2025-07-10 07:22:55.305000+00:00,7.846,0.6625,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,103.3,90.6,12.700000000000003,104.0,86.8,17.200000000000003,0.7000000000000028,-3.799999999999997,4.5,-0.36969696969697097,-0.8000000000000002,0.4303030303030292,-1.846901508168496e-14,0.5000000000000002,-0.5000000000000187,0.3696969696969525,1.3000000000000003,-0.9303030303030477,1.0,0.0,1.0,1.0,1.0,0.0
0D01,P2,27,2025-07-10 07:23:04.966000+00:00,8.132,0.6875,D first,3,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,101.9,87.9,14.0,99.6,90.2,9.399999999999991,-2.3000000000000114,2.299999999999997,-4.6000000000000085,-0.7939393939393953,0.39393939393939276,-1.187878787878788,0.5999999999999844,0.29999999999999327,0.29999999999999116,1.3939393939393798,-0.09393939393939948,1.4878787878787794,0.0,0.0,0.0,1.0,1.0,0.0
0D01,P2,28,2025-07-10 07:23:14.202000+00:00,9.217,0.71,D first,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,99.4,89.9,9.5,102.4,89.4,13.0,3.0,-0.5,3.5,0.145454545454545,0.12727272727273017,0.01818181818181483,0.4999999999999806,0.5999999999999898,-0.10000000000000914,0.3545454545454356,0.47272727272725956,-0.11818181818182394,0.6,0.0,0.6,1.0,1.0,0.0
0D01,P2,29,2025-07-10 07:23:24.107000+00:00,7.607,0.735,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,102.2,90.5,11.700000000000003,100.4,88.8,11.600000000000009,-1.7999999999999972,-1.7000000000000028,-0.09999999999999432,-0.0848484848484837,0.41818181818181527,-0.5030303030302989,0.6999999999999971,-0.30000000000000865,1.0000000000000058,0.7848484848484808,-0.7181818181818239,1.5030303030303047,0.0,0.0,0.0,1.0,1.0,0.0
0D01,P2,30,2025-07-10 07:23:34.999000+00:00,7.839,0.7625,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,103.2,91.3,11.900000000000006,106.2,88.6,17.60000000000001,3.0,-2.700000000000003,5.700000000000003,0.6666666666666693,0.757575757575759,-0.09090909090908972,0.7999999999999887,-1.500000000000009,2.299999999999998,0.13333333333331943,-2.257575757575768,2.3909090909090875,1.0,0.0,1.0,1.0,1.0,0.0
0D01,P2,31,2025-07-10 07:23:44.219000+00:00,8.749,0.785,D first,3,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,106.8,89.0,17.799999999999997,106.2,86.8,19.400000000000006,-0.5999999999999943,-2.200000000000003,1.6000000000000085,0.42424242424241915,-0.8969696969696969,1.321212121212116,-0.2000000000000122,0.6999999999999924,-0.9000000000000046,-0.6242424242424314,1.5969696969696892,-2.2212121212121207,1.0,0.0,1.0,1.0,1.0,0.0
0D02,P2,1,2025-07-10 13:28:44.985000+00:00,7.967,0.0398406374501992,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,69.4,62.1,7.300000000000004,79.2,65.0,14.200000000000003,9.799999999999997,2.8999999999999986,6.899999999999999,0.9696969696969673,0.7696969696969688,0.1999999999999985,1.099999999999996,-1.2667344765170475e-15,1.0999999999999974,0.1303030303030288,-0.76969696969697,0.8999999999999988,0.8,1.0,-0.19999999999999996,1.0,1.0,0.0
