test_user,n_test,pos_rate_test,best_model,best_calibration,threshold,fold_seconds,blend_weights,AUC-PR,AUC-ROC,Brier,LogLoss,F1,Precision,Recall,MCC,Kappa,Precision@Recall>=0.80,Precision@Recall>=0.85,Precision@Recall>=0.90,Precision@Recall>=0.95
participant_11,1110,0.2756756756756757,blend_calibrated,weighted_average,0.29883229557839563,10.75678539276123,"{""hgb_fixed"": 0.55, ""logreg_fixed"": 0.04999999999999993, ""xgb_fixed"": 0.4}",0.4718962291459904,0.7538857997593731,0.17042645269951373,0.5096365616954179,0.5542521994134897,0.5026595744680851,0.6176470588235294,0.3635592384929778,0.35958459541324106,0.43661971830985913,0.4015384615384615,0.3760217983651226,0.3265993265993266
participant_12,1045,0.29952153110047847,blend_calibrated,weighted_average,0.23545506186829696,10.847972869873047,"{""hgb_fixed"": 0.4, ""logreg_fixed"": 0.6, ""xgb_fixed"": 0.0}",0.5866717118275298,0.7857460849526005,0.17275834894968217,0.5184570484931439,0.622991347342398,0.5080645161290323,0.805111821086262,0.4327517499996166,0.40415098642946745,0.5101626016260162,0.45797598627787306,0.398876404494382,0.3363431151241535
participant_13,715,0.2895104895104895,blend_calibrated,weighted_average,0.24345966721990733,10.253876209259033,"{""hgb_fixed"": 0.1, ""logreg_fixed"": 0.6, ""xgb_fixed"": 0.30000000000000004}",0.5702667251083384,0.8223972003499563,0.17073678947573734,0.5028133444372825,0.6577437858508605,0.5443037974683544,0.8309178743961353,0.49995869253134684,0.47357488657911084,0.5493421052631579,0.5269461077844312,0.47341772151898737,0.42038216560509556
participant_14,614,0.2915309446254072,blend_calibrated,weighted_average,0.23689066761714822,10.842597007751465,"{""hgb_fixed"": 0.2, ""logreg_fixed"": 0.75, ""xgb_fixed"": 0.05}",0.5411064089362007,0.7628074231040904,0.17323440072420646,0.5204247238163427,0.592274678111588,0.4808362369337979,0.770949720670391,0.39023575137315786,0.363827721973192,0.47854785478547857,0.42032967032967034,0.351931330472103,0.30265486725663715
participant_15,1127,0.2724046140195209,blend_calibrated,weighted_average,0.2076082950932904,10.569417715072632,"{""hgb_fixed"": 0.05, ""logreg_fixed"": 0.7, ""xgb_fixed"": 0.25}",0.5472835014772072,0.7864781123381266,0.17414430082866783,0.5164888237861898,0.5876662636033857,0.4673076923076923,0.7915309446254072,0.40520409601814855,0.37281496991427154,0.46254681647940077,0.4036979969183359,0.3789329685362517,0.32201533406352684
participant_16,842,0.2814726840855107,blend_calibrated,weighted_average,0.17869355401760023,10.886192321777344,"{""hgb_fixed"": 0.0, ""logreg_fixed"": 0.75, ""xgb_fixed"": 0.25}",0.5608168687542274,0.7728702444467692,0.17486831464724711,0.5234243278113597,0.5444596443228454,0.402834008097166,0.8396624472573839,0.3215247353788917,0.2647464507297834,0.45893719806763283,0.38593155893536124,0.33965244865718797,0.3219858156028369
participant_17,1148,0.2770034843205575,blend_calibrated,weighted_average,0.24168388385678252,10.737826347351074,"{""hgb_fixed"": 0.0, ""logreg_fixed"": 0.5, ""xgb_fixed"": 0.5}",0.565719083720311,0.8027847238008637,0.1611523835210578,0.4905811887738389,0.6252983293556086,0.5038461538461538,0.8238993710691824,0.4612494712643945,0.4290040931152028,0.5214723926380368,0.4539363484087102,0.4056338028169014,0.3098159509202454
participant_18,835,0.3065868263473054,blend_calibrated,weighted_average,0.2323793542432173,10.311191320419312,"{""hgb_fixed"": 0.5, ""logreg_fixed"": 0.35, ""xgb_fixed"": 0.15000000000000002}",0.5227813941683292,0.7622112478411054,0.18991100552638904,0.556409317829361,0.6149253731343284,0.4975845410628019,0.8046875,0.4107849317118498,0.38002544016668494,0.5024509803921569,0.44421906693711966,0.42385321100917434,0.3810264385692068
participant_19,915,0.2819672131147541,blend_calibrated,weighted_average,0.25393622415994593,10.213578939437866,"{""hgb_fixed"": 0.0, ""logreg_fixed"": 0.8, ""xgb_fixed"": 0.2}",0.5312803682483894,0.7740669946786544,0.16665437576635778,0.5025975081509767,0.5797101449275363,0.49586776859504134,0.6976744186046512,0.3854998757008178,0.3730359379061031,0.45695364238410596,0.4330708661417323,0.38235294117647056,0.3426183844011142
participant_20,1106,0.27486437613019893,logreg_fixed,sigmoid,0.318403410142688,10.08700156211853,{},0.5019120367233291,0.761115303845649,0.16679279029360866,0.5038931042951882,0.5774058577405857,0.5012106537530266,0.680921052631579,0.391392875758618,0.38158472627690077,0.44086021505376344,0.40342679127725856,0.36778523489932885,0.3061440677966102
participant_21,1036,0.28667953667953666,blend_calibrated,weighted_average,0.253744581340253,9.799715280532837,"{""hgb_fixed"": 0.2, ""logreg_fixed"": 0.75, ""xgb_fixed"": 0.05}",0.48998618725372894,0.744467680868222,0.17561494470639424,0.5259374431661823,0.5880794701986755,0.4847161572052402,0.7474747474747475,0.38982854583974585,0.3684016560549509,0.44569288389513106,0.38484848484848483,0.3418043202033037,0.30095036958817317
participant_22,1042,0.29366602687140114,blend_calibrated,weighted_average,0.3201946697974195,9.943817138671875,"{""hgb_fixed"": 0.05, ""logreg_fixed"": 0.5999999999999999, ""xgb_fixed"": 0.35000000000000003}",0.5057497239848144,0.7558299587951123,0.17356890529069233,0.5206069819908863,0.5937072503419972,0.5105882352941177,0.7091503267973857,0.395297437245637,0.3830287758023293,0.4486486486486487,0.4097331240188383,0.3934659090909091,0.35102533172496986
participant_23,681,0.2422907488986784,blend_calibrated,weighted_average,0.2540190479676013,9.71483588218689,"{""hgb_fixed"": 0.2, ""logreg_fixed"": 0.39999999999999997, ""xgb_fixed"": 0.4}",0.37543039836048453,0.6477801268498943,0.17492449283521075,0.5317767286339117,0.4419134396355353,0.354014598540146,0.5878787878787879,0.21394604249548094,0.19993382532763648,0.27824267782426776,0.2781065088757396,0.26278659611992944,0.2552845528455285
participant_24,848,0.21462264150943397,blend_calibrated,weighted_average,0.269194751198448,10.135277271270752,"{""hgb_fixed"": 0.0, ""logreg_fixed"": 0.85, ""xgb_fixed"": 0.15000000000000002}",0.3232391477871273,0.6527819027819028,0.16600486787523233,0.5081877777090051,0.40293040293040294,0.3021978021978022,0.6043956043956044,0.18498307629197547,0.16357651159413278,0.27137546468401486,0.25963149078726966,0.25190839694656486,0.24331926863572434
participant_25,850,0.24941176470588236,blend_calibrated,weighted_average,0.27046965232443176,10.555164813995361,"{""hgb_fixed"": 0.1, ""logreg_fixed"": 0.6, ""xgb_fixed"": 0.30000000000000004}",0.35438137160734634,0.6340642928964334,0.18480204991782223,0.5543892878160925,0.4072072072072072,0.3294460641399417,0.5330188679245284,0.15214577053770323,0.14301386990604248,0.31078610603290674,0.2904761904761905,0.28171091445427726,0.2650130548302872
participant_26,1057,0.23178807947019867,blend_calibrated,weighted_average,0.1983896423106437,10.559444189071655,"{""hgb_fixed"": 0.0, ""logreg_fixed"": 0.35, ""xgb_fixed"": 0.65}",0.3139594823003867,0.6301447672665125,0.17158627668725104,0.5239698140837835,0.42819148936170215,0.3175542406311637,0.6571428571428571,0.19514280226118316,0.16822525684712153,0.26720647773279355,0.2615769712140175,0.24582869855394884,0.23471400394477318
participant_27,1041,0.2574447646493756,blend_calibrated,weighted_average,0.2846118368723189,10.464889287948608,"{""hgb_fixed"": 0.1, ""logreg_fixed"": 0.75, ""xgb_fixed"": 0.15000000000000002}",0.3807776639722581,0.6581717866038501,0.1822356028475034,0.5523197132101055,0.47147147147147145,0.3944723618090452,0.585820895522388,0.2465685478116172,0.23656500922958978,0.3125,0.29044585987261146,0.2827586206896552,0.27838427947598254
participant_28,1040,0.2519230769230769,blend_calibrated,weighted_average,0.260301573640915,10.65195631980896,"{""hgb_fixed"": 0.2, ""logreg_fixed"": 0.39999999999999997, ""xgb_fixed"": 0.4}",0.37743842193695815,0.6550658372417041,0.17926461375486324,0.5408657504534337,0.4536652835408022,0.3557483731019523,0.6259541984732825,0.21340630909280925,0.1950716754579156,0.31981981981981983,0.2880921895006402,0.2728323699421965,0.25906735751295334
participant_29,1119,0.2323503127792672,blend_calibrated,weighted_average,0.31357829727065045,10.019795894622803,"{""hgb_fixed"": 0.0, ""logreg_fixed"": 0.44999999999999996, ""xgb_fixed"": 0.55}",0.30754922516559446,0.6150801468612878,0.17963139548321175,0.5416349445246087,0.37702503681885124,0.3054892601431981,0.49230769230769234,0.1339841815432696,0.1265571919154268,0.27088305489260145,0.27088305489260145,0.26440677966101694,0.24554455445544554
participant_30,1025,0.2926829268292683,blend_calibrated,weighted_average,0.29055512872112194,10.135715007781982,"{""hgb_fixed"": 0.25, ""logreg_fixed"": 0.55, ""xgb_fixed"": 0.2}",0.3889147381008186,0.6132045977011493,0.20411773259971847,0.6101504052516946,0.45755395683453237,0.40253164556962023,0.53,0.19116901549165152,0.18711543518275042,0.31537450722733246,0.3039906103286385,0.2968591691995947,0.2968591691995947
